,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1114,Amit Mishra,4.0,20,1,14,5.0,24.0,KKR,Eden Gardens,07 May 2015
1115,Andre Russell,2.0,10,1,8,5.0,12.0,SRH,Eden Gardens,04 May 2015
1116,Amit Mishra,2.0,10,1,5,5.0,12.0,PBKS,Arun Jaitley Stadium,01 May 2015
1117,Deepak Hooda,4.0,20,0,8,5.0,0.0,DC,Arun Jaitley Stadium,12 April 2015
1118,Pravin Tambe,3.0,15,0,7,5.0,0.0,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015
1119,Pravin Tambe,4.0,21,2,12,5.25,12.0,SRH,ACA-VDCA Stadium,16 April 2015
1120,Ishwar Pandey,4.0,21,1,14,5.25,24.0,RCB,M. Chinnaswamy Stadium,22 April 2015
1121,Jagadeesha Suchith,4.0,21,1,10,5.25,24.0,CSK,Chidambaram,08 May 2015
1122,Amit Mishra,4.0,21,1,10,5.25,24.0,CSK,Chidambaram,09 April 2015
1123,Bhuvneshwar Kumar,4.0,21,1,9,5.25,24.0,DC,ACA-VDCA Stadium,18 April 2015
1124,Piyush Chawla,4.0,21,1,13,5.25,24.0,CSK,Eden Gardens,30 April 2015
1125,Chris Morris,4.0,21,0,14,5.25,0.0,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015
1126,Bhuvneshwar Kumar,3.0,16,0,10,5.33,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
1127,Murali Vijay,3.0,16,0,3,5.33,0.0,SRH,IS Bindra Stadium,27 April 2015
1128,David Wiese,3.2,18,2,8,5.4,10.0,DC,Arun Jaitley Stadium,26 April 2015
1129,Mitchell Starc,4.0,22,3,13,5.5,8.0,RR,Narendra Modi Stadium,24 April 2015
1130,Imran Tahir,4.0,22,3,13,5.5,8.0,MI,Arun Jaitley Stadium,23 April 2015
1131,Ravindra Jadeja,4.0,22,3,9,5.5,8.0,PBKS,Chidambaram,25 April 2015
1132,Axar Patel,2.0,11,2,2,5.5,6.0,RCB,IS Bindra Stadium,13 May 2015
1133,Shakib Al Hasan,4.0,22,2,12,5.5,12.0,MI,Wankhede Stadium,14 May 2015
1134,James Faulkner,4.0,22,2,10,5.5,12.0,DC,Brabourne Stadium,03 May 2015
1135,Ravichandran Ashwin,4.0,22,1,8,5.5,24.0,SRH,Chidambaram,11 April 2015
1136,Karn Sharma,4.0,22,1,6,5.5,24.0,PBKS,IS Bindra Stadium,27 April 2015
1137,Mohit Sharma,4.0,22,1,14,5.5,24.0,KKR,Eden Gardens,30 April 2015
1138,Mitchell Starc,4.0,22,1,13,5.5,24.0,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
1139,Mohit Sharma,4.0,22,1,9,5.5,24.0,RCB,JSCA Stadium,22 May 2015
1140,Ravindra Jadeja,2.0,11,0,5,5.5,0.0,RCB,Chidambaram,04 May 2015
1141,Yusuf Pathan,2.0,11,0,4,5.5,0.0,CSK,Eden Gardens,30 April 2015
1142,Deepak Hooda,2.0,11,0,6,5.5,0.0,SRH,ACA-VDCA Stadium,16 April 2015
1143,JP Duminy,3.0,17,4,6,5.66,4.5,SRH,ACA-VDCA Stadium,18 April 2015
1144,Gurkeerat Mann Singh,3.0,17,2,8,5.66,9.0,KKR,Eden Gardens,09 May 2015
1145,Ashish Nehra,3.0,17,1,12,5.66,18.0,PBKS,IS Bindra Stadium,16 May 2015
1146,Vinay Kumar,3.0,17,0,9,5.66,0.0,PBKS,IS Bindra Stadium,03 May 2015
1147,Moises Henriques,3.0,17,0,8,5.66,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
1148,Chris Morris,4.0,23,4,10,5.75,6.0,KKR,Brabourne Stadium,16 May 2015
1149,Lasith Malinga,4.0,23,4,13,5.75,6.0,SRH,Wankhede Stadium,25 April 2015
1150,Lasith Malinga,4.0,23,3,8,5.75,8.0,CSK,Wankhede Stadium,19 May 2015
1151,Ashish Nehra,4.0,23,3,13,5.75,8.0,MI,Wankhede Stadium,17 April 2015
1152,Anureet Singh,4.0,23,3,12,5.75,8.0,RR,Maharashtra Cricket Association's International Stadium,10 April 2015
1153,Mitchell Johnson,4.0,23,2,17,5.75,12.0,MI,Wankhede Stadium,12 April 2015
1154,Bhuvneshwar Kumar,4.0,23,2,11,5.75,12.0,PBKS,IS Bindra Stadium,27 April 2015
1155,Harshal Patel,4.0,23,2,7,5.75,12.0,RR,Narendra Modi Stadium,24 April 2015
1156,Pawan Negi,4.0,23,1,7,5.75,24.0,KKR,Eden Gardens,30 April 2015
1157,Bipul Sharma,4.0,23,1,8,5.75,24.0,KKR,Eden Gardens,04 May 2015
1158,Lasith Malinga,4.0,23,1,11,5.75,24.0,DC,Arun Jaitley Stadium,23 April 2015
1159,Mitchell Starc,4.0,24,3,13,6.0,8.0,CSK,Chidambaram,04 May 2015
1160,Varun Aaron,4.0,24,2,13,6.0,12.0,DC,Arun Jaitley Stadium,26 April 2015
1161,Harshal Patel,2.0,12,2,4,6.0,6.0,PBKS,IS Bindra Stadium,13 May 2015
1162,Domnic Joseph,3.0,18,2,12,6.0,9.0,KKR,Arun Jaitley Stadium,20 April 2015
1163,Ravindra Jadeja,3.0,18,1,6,6.0,18.0,PBKS,IS Bindra Stadium,16 May 2015
1164,Pravin Tambe,3.0,18,1,8,6.0,18.0,DC,Arun Jaitley Stadium,12 April 2015
1165,Harbhajan Singh,3.0,18,1,6,6.0,18.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
1166,Domnic Joseph,3.0,18,1,9,6.0,18.0,CSK,Chidambaram,09 April 2015
1167,Rishi Dhawan,2.0,12,1,7,6.0,12.0,CSK,IS Bindra Stadium,16 May 2015
1168,Andre Russell,4.0,24,1,13,6.0,24.0,DC,Eden Gardens,07 May 2015
1169,Mitchell Starc,4.0,24,1,12,6.0,24.0,CSK,M. Chinnaswamy Stadium,22 April 2015
1170,Vinay Kumar,3.3,21,0,10,6.0,0.0,KKR,Eden Gardens,08 April 2015
1171,Corey Anderson,2.0,12,0,5,6.0,0.0,RR,Narendra Modi Stadium,14 April 2015
1172,Stuart Binny,2.0,12,0,4,6.0,0.0,SRH,ACA-VDCA Stadium,16 April 2015
1173,Ishwar Pandey,2.0,12,0,6,6.0,0.0,RR,Narendra Modi Stadium,19 April 2015
1174,Ravichandran Ashwin,4.0,24,0,13,6.0,0.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
1175,Ravindra Jadeja,2.4,16,0,6,6.0,0.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
1176,Sandeep Sharma,4.0,25,4,15,6.25,6.0,KKR,Maharashtra Cricket Association's International Stadium,18 April 2015
1177,Ashish Nehra,4.0,25,3,12,6.25,8.0,DC,Chidambaram,09 April 2015
1178,Dwayne Bravo,4.0,25,3,11,6.25,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015
1179,Mitchell McClenaghan,4.0,25,3,15,6.25,8.0,CSK,Eden Gardens,24 May 2015
1180,Mohit Sharma,4.0,25,3,11,6.25,8.0,RR,Chidambaram,10 May 2015
1181,Axar Patel,4.0,25,2,8,6.25,12.0,SRH,IS Bindra Stadium,27 April 2015
1182,Pawan Negi,4.0,25,2,10,6.25,12.0,PBKS,IS Bindra Stadium,16 May 2015
1183,Dwayne Bravo,4.0,25,2,5,6.25,12.0,SRH,Chidambaram,11 April 2015
1184,Lasith Malinga,4.0,25,2,10,6.25,12.0,CSK,Eden Gardens,24 May 2015
1185,Nathan Coulter-Nile,4.0,25,2,12,6.25,12.0,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
1186,Sandeep Sharma,4.0,25,1,10,6.25,24.0,RR,Narendra Modi Stadium,21 April 2015
1187,Jagadeesha Suchith,4.0,25,1,9,6.25,24.0,SRH,Wankhede Stadium,25 April 2015
1188,Amit Mishra,4.0,25,1,7,6.25,24.0,MI,Wankhede Stadium,05 May 2015
1189,Shane Watson,4.0,25,1,14,6.25,24.0,DC,Brabourne Stadium,03 May 2015
1190,Ravichandran Ashwin,4.0,25,1,8,6.25,24.0,DC,Chidambaram,09 April 2015
1191,Sreenath Aravind,4.0,25,1,9,6.25,24.0,CSK,JSCA Stadium,22 May 2015
1192,Bhuvneshwar Kumar,4.0,25,0,9,6.25,0.0,RR,ACA-VDCA Stadium,16 April 2015
1193,Mitchell McClenaghan,4.0,25,0,7,6.25,0.0,PBKS,IS Bindra Stadium,03 May 2015
1194,Anureet Singh,4.0,25,0,6,6.25,0.0,RCB,M. Chinnaswamy Stadium,06 May 2015
1195,Pat Cummins,4.0,25,0,12,6.25,0.0,CSK,Chidambaram,28 April 2015
1196,Karn Sharma,3.0,19,1,7,6.33,18.0,RR,ACA-VDCA Stadium,16 April 2015
1197,Angelo Mathews,3.0,19,0,6,6.33,0.0,PBKS,Arun Jaitley Stadium,01 May 2015
1198,James Faulkner,4.0,26,3,11,6.5,8.0,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015
1199,Bhuvneshwar Kumar,4.0,26,3,13,6.5,8.0,MI,Wankhede Stadium,25 April 2015
1200,Chris Gayle,2.0,3,0,10,1.5,0.0,GL,M. Chinnaswamy Stadium,14 May 2016
1201,Dwayne Smith,4.0,8,4,18,2.0,6.0,KKR,Green Park,19 May 2016
1202,John Hastings,2.4,6,2,13,2.25,8.0,DC,Eden Gardens,10 April 2016
1203,Mustafizur Rahman,4.0,9,2,17,2.25,12.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,23 April 2016
1204,Rajat Bhatia,4.0,10,1,17,2.5,24.0,MI,Wankhede Stadium,09 April 2016
1205,Sunil Narine,3.4,10,0,13,2.72,0.0,RPS,Eden Gardens,14 May 2016
1206,Sandeep Sharma,4.0,11,2,16,2.75,12.0,MI,ACA-VDCA Stadium,13 May 2016
1207,Sandeep Sharma,2.0,6,1,9,3.0,12.0,DC,Arun Jaitley Stadium,15 April 2016
1208,Jasprit Bumrah,4.0,13,3,12,3.25,8.0,DC,ACA-VDCA Stadium,15 May 2016
1209,Praveen Kumar,4.0,13,0,12,3.25,0.0,DC,Arun Jaitley Stadium,27 April 2016
1210,Dhawal Kulkarni,4.0,14,4,13,3.5,6.0,RCB,M. Chinnaswamy Stadium,24 May 2016
1211,Shane Watson,2.0,7,2,7,3.5,6.0,PBKS,M. Chinnaswamy Stadium,18 May 2016
1212,Mitchell Marsh,4.0,14,2,15,3.5,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,26 April 2016
1213,Ravichandran Ashwin,4.0,14,1,11,3.5,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,26 April 2016
1214,Zaheer Khan,4.0,14,1,17,3.5,24.0,PBKS,Arun Jaitley Stadium,15 April 2016
1215,Chris Jordan,3.0,11,4,9,3.66,4.5,GL,M. Chinnaswamy Stadium,14 May 2016
1216,Amit Mishra,3.0,11,4,13,3.66,4.5,PBKS,Arun Jaitley Stadium,15 April 2016
1217,Marcus Stoinis,4.0,15,4,11,3.75,6.0,MI,ACA-VDCA Stadium,13 May 2016
1218,Krunal Pandya,4.0,15,1,11,3.75,24.0,RCB,M. Chinnaswamy Stadium,11 May 2016
1219,Yuzvendra Chahal,4.0,16,1,9,4.0,24.0,MI,M. Chinnaswamy Stadium,11 May 2016
1220,Murugan Ashwin,4.0,16,1,13,4.0,24.0,MI,Wankhede Stadium,09 April 2016
1221,Ravichandran Ashwin,4.0,16,1,14,4.0,24.0,SRH,ACA-VDCA Stadium,10 May 2016
1222,Mustafizur Rahman,4.0,17,2,14,4.25,12.0,GL,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016
1223,Dhawal Kulkarni,4.0,17,2,16,4.25,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016
1224,Bhuvneshwar Kumar,4.0,17,1,14,4.25,24.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
1225,Kane Richardson,3.0,13,3,11,4.33,6.0,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016
1226,Shadab Jakati,3.0,13,1,12,4.33,18.0,MI,Wankhede Stadium,16 April 2016
1227,Sreenath Aravind,3.0,13,0,9,4.33,0.0,GL,M. Chinnaswamy Stadium,24 May 2016
1228,Pradeep Sahu,4.0,18,2,10,4.5,12.0,KKR,IS Bindra Stadium,19 April 2016
1229,Ravindra Jadeja,4.0,18,2,13,4.5,12.0,RPS,Saurashtra Cricket Association Stadium,14 April 2016
1230,Moises Henriques,4.0,18,1,9,4.5,24.0,MI,ACA-VDCA Stadium,08 May 2016
1231,Carlos Brathwaite,2.0,9,0,6,4.5,0.0,KKR,Eden Gardens,10 April 2016
1232,Dwayne Bravo,3.0,14,2,6,4.66,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016
1233,Shakib Al Hasan,3.0,14,1,7,4.66,18.0,RPS,Maharashtra Cricket Association's International Stadium,24 April 2016
1234,Ben Cutting,3.0,14,1,7,4.66,18.0,KKR,Arun Jaitley Stadium,25 May 2016
1235,Adam Zampa,4.0,19,6,11,4.75,4.0,SRH,ACA-VDCA Stadium,10 May 2016
1236,Bhuvneshwar Kumar,4.0,19,3,10,4.75,8.0,KKR,Arun Jaitley Stadium,25 May 2016
1237,Dhawal Kulkarni,4.0,19,3,14,4.75,8.0,DC,Arun Jaitley Stadium,27 April 2016
1238,Yuzvendra Chahal,4.0,19,3,13,4.75,8.0,GL,M. Chinnaswamy Stadium,14 May 2016
1239,Brad Hogg,4.0,19,3,16,4.75,8.0,DC,Eden Gardens,10 April 2016
1240,Dhawal Kulkarni,4.0,19,2,16,4.75,12.0,MI,Wankhede Stadium,16 April 2016
1241,Rajat Bhatia,4.0,19,2,8,4.75,12.0,KKR,Maharashtra Cricket Association's International Stadium,24 April 2016
1242,Praveen Kumar,4.0,19,2,14,4.75,12.0,KKR,Eden Gardens,08 May 2016
1243,Chris Morris,4.0,19,1,12,4.75,24.0,PBKS,Arun Jaitley Stadium,15 April 2016
1244,Andre Russell,4.0,19,1,10,4.75,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,16 April 2016
1245,Chris Morris,4.0,19,1,10,4.75,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016
1246,Mustafizur Rahman,4.0,19,1,10,4.75,24.0,GL,Saurashtra Cricket Association Stadium,21 April 2016
1247,Andre Russell,4.0,20,4,13,5.0,6.0,PBKS,Eden Gardens,04 May 2016
1248,Ashok Dinda,4.0,20,3,14,5.0,8.0,DC,ACA-VDCA Stadium,17 May 2016
1249,Shivil Kaushik,4.0,20,3,10,5.0,8.0,PBKS,Saurashtra Cricket Association Stadium,01 May 2016
1250,Ashish Nehra,3.0,15,3,12,5.0,6.0,MI,ACA-VDCA Stadium,08 May 2016
1251,Krunal Pandya,4.0,20,1,8,5.0,24.0,GL,Wankhede Stadium,16 April 2016
1252,Bipul Sharma,2.0,10,1,5,5.0,12.0,GL,Saurashtra Cricket Association Stadium,21 April 2016
1253,Sandeep Sharma,4.0,20,1,13,5.0,24.0,MI,IS Bindra Stadium,25 April 2016
1254,Bhuvneshwar Kumar,4.0,20,1,12,5.0,24.0,RPS,ACA-VDCA Stadium,10 May 2016
1255,Sreenath Aravind,3.0,15,1,8,5.0,18.0,GL,M. Chinnaswamy Stadium,14 May 2016
1256,Chris Jordan,2.0,10,1,7,5.0,12.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016
1257,Mohit Sharma,2.0,10,0,6,5.0,0.0,DC,Arun Jaitley Stadium,15 April 2016
1258,KC Cariappa,3.0,15,0,7,5.0,0.0,GL,Saurashtra Cricket Association Stadium,01 May 2016
1259,Anureet Singh,3.0,15,0,6,5.0,0.0,RCB,IS Bindra Stadium,09 May 2016
1260,Amit Mishra,2.0,10,0,5,5.0,0.0,RPS,ACA-VDCA Stadium,17 May 2016
1261,Barinder Sran,3.3,18,2,13,5.14,10.5,MI,ACA-VDCA Stadium,08 May 2016
1262,Axar Patel,4.0,21,4,12,5.25,6.0,GL,Saurashtra Cricket Association Stadium,01 May 2016
1263,Mitchell McClenaghan,4.0,21,4,11,5.25,6.0,GL,Wankhede Stadium,16 April 2016
1264,Adam Zampa,4.0,21,3,7,5.25,8.0,DC,ACA-VDCA Stadium,17 May 2016
1265,Piyush Chawla,4.0,21,2,13,5.25,12.0,RPS,Eden Gardens,14 May 2016
1266,Piyush Chawla,4.0,21,2,16,5.25,12.0,DC,Eden Gardens,10 April 2016
1267,Ravindra Jadeja,4.0,21,2,9,5.25,12.0,RCB,M. Chinnaswamy Stadium,24 May 2016
1268,Mitchell Marsh,4.0,21,2,13,5.25,12.0,MI,Wankhede Stadium,09 April 2016
1269,Tabraiz Shamsi,4.0,21,1,9,5.25,24.0,GL,Saurashtra Cricket Association Stadium,24 April 2016
1270,Mohit Sharma,4.0,21,0,12,5.25,0.0,DC,IS Bindra Stadium,07 May 2016
1271,Chris Morris,4.0,21,0,13,5.25,0.0,KKR,Eden Gardens,10 April 2016
1272,Mustafizur Rahman,3.0,16,3,8,5.33,6.0,MI,ACA-VDCA Stadium,08 May 2016
1273,KC Cariappa,3.0,16,2,5,5.33,9.0,RCB,IS Bindra Stadium,09 May 2016
1274,Ashok Dinda,3.0,16,1,9,5.33,18.0,PBKS,ACA-VDCA Stadium,21 May 2016
1275,Dwayne Bravo,4.0,22,4,9,5.5,6.0,PBKS,IS Bindra Stadium,11 April 2016
1276,Rajat Bhatia,4.0,22,2,6,5.5,12.0,DC,Arun Jaitley Stadium,05 May 2016
1277,Dwayne Bravo,4.0,22,2,8,5.5,12.0,MI,Green Park,21 May 2016
1278,Sunil Narine,4.0,22,2,9,5.5,12.0,PBKS,IS Bindra Stadium,19 April 2016
1279,Chris Gayle,2.0,11,2,3,5.5,6.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016
1280,Shane Watson,4.0,22,2,10,5.5,12.0,PBKS,IS Bindra Stadium,09 May 2016
1281,Shivil Kaushik,4.0,22,2,11,5.5,12.0,SRH,Arun Jaitley Stadium,27 May 2016
1282,Sunil Narine,4.0,22,2,11,5.5,12.0,MI,Wankhede Stadium,28 April 2016
1283,Iqbal Abdulla,4.0,22,1,8,5.5,24.0,KKR,Eden Gardens,16 May 2016
1284,Shadab Jakati,4.0,22,1,5,5.5,24.0,KKR,Green Park,19 May 2016
1285,Andre Russell,2.0,11,1,6,5.5,12.0,RPS,Eden Gardens,14 May 2016
1286,Tim Southee,4.0,22,1,13,5.5,24.0,PBKS,ACA-VDCA Stadium,13 May 2016
1287,Amit Mishra,2.0,11,1,6,5.5,12.0,KKR,Eden Gardens,10 April 2016
1288,Moises Henriques,3.0,17,2,5,5.66,9.0,KKR,Arun Jaitley Stadium,25 May 2016
1289,Vinay Kumar,3.0,17,2,9,5.66,9.0,GL,Green Park,21 May 2016
1290,Umesh Yadav,3.0,17,1,5,5.66,18.0,PBKS,IS Bindra Stadium,19 April 2016
1291,Bhuvneshwar Kumar,3.0,17,1,10,5.66,18.0,RPS,Rajiv Gandhi Intl. Cricket Stadium,26 April 2016
1292,Irfan Pathan,3.0,17,0,9,5.66,0.0,DC,ACA-VDCA Stadium,17 May 2016
1293,Moises Henriques,3.0,17,0,3,5.66,0.0,GL,Saurashtra Cricket Association Stadium,21 April 2016
1294,Yusuf Pathan,3.0,17,0,6,5.66,0.0,SRH,Arun Jaitley Stadium,25 May 2016
1295,Ravindra Jadeja,3.0,17,0,4,5.66,0.0,RCB,Saurashtra Cricket Association Stadium,24 April 2016
1296,Carlos Brathwaite,3.1,18,1,6,5.68,19.0,RCB,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016
1297,Mohit Sharma,4.0,23,3,7,5.75,8.0,RPS,IS Bindra Stadium,17 April 2016
1298,Ashok Dinda,4.0,23,3,15,5.75,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,26 April 2016
1299,Sandeep Sharma,4.0,23,2,11,5.75,12.0,RPS,IS Bindra Stadium,17 April 2016
1300,Jayant Yadav,4.0,23,1,12,5.75,24.0,PBKS,Arun Jaitley Stadium,15 April 2016
1301,Zaheer Khan,4.0,23,1,10,5.75,24.0,MI,ACA-VDCA Stadium,15 May 2016
1302,Sreenath Aravind,4.0,23,1,10,5.75,24.0,MI,M. Chinnaswamy Stadium,11 May 2016
1303,Ravichandran Ashwin,4.0,23,0,9,5.75,0.0,DC,ACA-VDCA Stadium,17 May 2016
1304,Moises Henriques,4.0,23,0,10,5.75,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
1305,Marcus Stoinis,4.0,23,0,9,5.75,0.0,GL,Saurashtra Cricket Association Stadium,01 May 2016
1306,Ashish Nehra,4.0,23,0,13,5.75,0.0,GL,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016
1307,Zaheer Khan,3.3,21,3,9,6.0,7.0,KKR,Arun Jaitley Stadium,30 April 2016
1308,Shane Watson,4.0,24,3,12,6.0,8.0,RPS,M. Chinnaswamy Stadium,07 May 2016
1309,Tim Southee,4.0,24,3,10,6.0,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
1310,Imran Tahir,4.0,24,3,7,6.0,8.0,GL,Arun Jaitley Stadium,27 April 2016
1311,Pravin Tambe,2.0,12,2,6,6.0,6.0,MI,Wankhede Stadium,16 April 2016
1312,Praveen Kumar,4.0,24,2,15,6.0,12.0,MI,Green Park,21 May 2016
1313,Amit Mishra,4.0,24,2,7,6.0,12.0,MI,Arun Jaitley Stadium,23 April 2016
1314,Andre Russell,4.0,24,1,11,6.0,24.0,RCB,M. Chinnaswamy Stadium,02 May 2016
1315,Piyush Chawla,3.0,18,1,8,6.0,18.0,PBKS,IS Bindra Stadium,19 April 2016
1316,Chris Morris,2.0,12,1,7,6.0,12.0,RPS,ACA-VDCA Stadium,17 May 2016
1317,Mustafizur Rahman,4.0,24,1,11,6.0,24.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,20 May 2016
1318,Shreyas Gopal,3.0,18,0,4,6.0,0.0,RPS,Wankhede Stadium,09 April 2016
1319,Shakib Al Hasan,3.0,18,0,5,6.0,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,16 April 2016
1320,Praveen Kumar,2.0,12,0,6,6.0,0.0,RPS,Saurashtra Cricket Association Stadium,14 April 2016
1321,Axar Patel,4.0,24,0,7,6.0,0.0,KKR,Eden Gardens,04 May 2016
1322,Praveen Kumar,2.0,12,0,5,6.0,0.0,KKR,Green Park,19 May 2016
1323,Dwayne Smith,2.0,12,0,4,6.0,0.0,DC,Saurashtra Cricket Association Stadium,03 May 2016
1324,Praveen Kumar,3.0,18,0,9,6.0,0.0,MI,Wankhede Stadium,16 April 2016
1325,Mitchell McClenaghan,4.0,25,2,8,6.25,12.0,KKR,Eden Gardens,13 April 2016
1326,Shane Watson,4.0,25,2,10,6.25,12.0,DC,M. Chinnaswamy Stadium,17 April 2016
1327,Nathan Coulter-Nile,4.0,25,2,9,6.25,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016
1328,Harbhajan Singh,4.0,25,1,5,6.25,24.0,RPS,Maharashtra Cricket Association's International Stadium,01 May 2016
1329,Krunal Pandya,4.0,25,0,3,6.25,0.0,DC,Arun Jaitley Stadium,23 April 2016
1330,Tim Southee,4.0,25,0,11,6.25,0.0,RCB,Wankhede Stadium,20 April 2016
1331,Jayant Yadav,4.0,25,0,8,6.25,0.0,RPS,Arun Jaitley Stadium,05 May 2016
1332,Bhuvneshwar Kumar,4.0,25,0,9,6.25,0.0,RCB,M. Chinnaswamy Stadium,29 May 2016
1333,Praveen Kumar,4.0,25,0,7,6.25,0.0,PBKS,IS Bindra Stadium,11 April 2016
1334,Sandeep Sharma,4.0,25,0,9,6.25,0.0,KKR,Eden Gardens,04 May 2016
1335,Shivil Kaushik,4.0,25,0,9,6.25,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016
1336,Axar Patel,3.0,19,2,6,6.33,9.0,KKR,IS Bindra Stadium,19 April 2016
1337,Moises Henriques,3.0,19,2,9,6.33,9.0,DC,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016
1338,Amit Mishra,3.0,19,2,7,6.33,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016
1339,Amit Mishra,3.0,19,1,4,6.33,18.0,GL,Saurashtra Cricket Association Stadium,03 May 2016
1340,Chris Morris,3.0,19,1,5,6.33,18.0,KKR,Arun Jaitley Stadium,30 April 2016
1341,Pawan Negi,3.0,19,1,4,6.33,18.0,RCB,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016
1342,Jasprit Bumrah,3.0,19,0,6,6.33,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
1343,Harbhajan Singh,3.0,19,0,5,6.33,0.0,RCB,M. Chinnaswamy Stadium,11 May 2016
1344,Zaheer Khan,3.0,19,0,10,6.33,0.0,RPS,ACA-VDCA Stadium,17 May 2016
1345,Jasprit Bumrah,4.0,26,3,6,6.5,8.0,PBKS,IS Bindra Stadium,25 April 2016
1346,Andre Russell,4.0,26,3,11,6.5,8.0,DC,Arun Jaitley Stadium,30 April 2016
1347,Sunil Narine,4.0,26,3,11,6.5,8.0,SRH,Eden Gardens,22 May 2016
1348,Mustafizur Rahman,4.0,26,2,11,6.5,12.0,RCB,M. Chinnaswamy Stadium,12 April 2016
1349,Imran Tahir,4.0,26,2,9,6.5,12.0,RPS,Arun Jaitley Stadium,05 May 2016
1350,Varun Aaron,2.0,3,2,9,1.5,6.0,DC,IS Bindra Stadium,30 April 2017
1351,Lockie Ferguson,4.0,7,2,17,1.75,12.0,RCB,Maharashtra Cricket Association's International Stadium,29 April 2017
1352,Samuel Badree,4.0,9,4,16,2.25,6.0,MI,M. Chinnaswamy Stadium,14 April 2017
1353,Jasprit Bumrah,3.0,7,3,14,2.33,6.0,KKR,M. Chinnaswamy Stadium,19 May 2017
1354,Lasith Malinga,2.0,5,2,9,2.5,6.0,DC,Arun Jaitley Stadium,06 May 2017
1355,Karn Sharma,3.4,11,3,13,3.0,7.33,DC,Arun Jaitley Stadium,06 May 2017
1356,Chris Woakes,2.0,6,3,10,3.0,4.0,RCB,Eden Gardens,23 April 2017
1357,Andrew Tye,4.0,12,3,12,3.0,8.0,RCB,M. Chinnaswamy Stadium,27 April 2017
1358,Axar Patel,4.0,12,1,13,3.0,24.0,RCB,Holkar Cricket Stadium,10 April 2017
1359,Moises Henriques,2.0,6,1,7,3.0,12.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
1360,Glenn Maxwell,4.0,12,1,15,3.0,24.0,DC,IS Bindra Stadium,30 April 2017
1361,Mohammad Nabi,4.0,13,1,15,3.25,24.0,MI,Rajiv Gandhi Intl. Cricket Stadium,08 May 2017
1362,Shahbaz Nadeem,4.0,13,1,12,3.25,24.0,RCB,M. Chinnaswamy Stadium,08 April 2017
1363,Washington Sundar,4.0,13,0,15,3.25,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,21 May 2017
1364,Ben Stokes,3.0,10,0,12,3.33,0.0,PBKS,Maharashtra Cricket Association's International Stadium,14 May 2017
1365,Krunal Pandya,4.0,14,3,16,3.5,8.0,GL,Saurashtra Cricket Association Stadium,29 April 2017
1366,Washington Sundar,2.0,7,1,5,3.5,12.0,RCB,Maharashtra Cricket Association's International Stadium,29 April 2017
1367,Nathu Singh,2.0,7,1,7,3.5,12.0,PBKS,Saurashtra Cricket Association Stadium,23 April 2017
1368,Shardul Thakur,2.0,7,0,6,3.5,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,21 May 2017
