,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1984,Kagiso Rabada,4.0,26,1,0,13,24.0,RR,Zayed Cricket Stadium,25 September 2021
1985,Kyle Jamieson,4.0,27,1,0,13,24.0,MI,Chidambaram,09 April 2021
1986,Umran Malik,4.0,27,0,0,13,0.0,KKR,Dubai International Stadium,03 October 2021
1987,Avesh Khan,4.0,27,0,0,13,0.0,SRH,Dubai International Stadium,22 September 2021
1988,Josh Hazlewood,4.0,29,2,0,13,12.0,DC,Dubai International Stadium,10 October 2021
1989,Jason Holder,4.0,30,3,0,13,8.0,RCB,Chidambaram,14 April 2021
1990,Chetan Sakariya,4.0,31,3,0,13,8.0,PBKS,Wankhede Stadium,12 April 2021
1991,Kartik Tyagi,4.0,32,1,0,13,24.0,SRH,Arun Jaitley Stadium,02 May 2021
1992,Mohammad Shami,4.0,33,2,0,13,12.0,RR,Wankhede Stadium,12 April 2021
1993,Trent Boult,4.0,35,2,1,13,12.0,CSK,Dubai International Stadium,19 September 2021
1994,Kagiso Rabada,4.0,37,3,0,13,8.0,SRH,Dubai International Stadium,22 September 2021
1995,Sunil Narine,4.0,12,0,0,12,0.0,SRH,Dubai International Stadium,03 October 2021
1996,Shardul Thakur,4.0,13,2,0,12,12.0,DC,Dubai International Stadium,04 October 2021
