,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1563,Andre Russell,44,30,146.66,3,4,DC,Arun Jaitley Stadium,27 April 2018
1564,Rishabh Pant,64,44,145.45,4,4,MI,Arun Jaitley Stadium,20 May 2018
1565,Manan Vohra,45,31,145.16,2,4,MI,M. Chinnaswamy Stadium,01 May 2018
1566,Quinton de Kock,53,37,143.24,1,4,CSK,M. Chinnaswamy Stadium,25 April 2018
1567,Evin Lewis,60,42,142.85,4,4,RR,Wankhede Stadium,13 May 2018
1568,AB de Villiers,57,40,142.5,2,4,PBKS,M. Chinnaswamy Stadium,13 April 2018
1569,Ambati Rayudu,46,35,131.42,2,4,MI,Maharashtra Cricket Association's International Stadium,28 April 2018
1570,Sunil Narine,26,9,288.88,1,3,DC,Arun Jaitley Stadium,27 April 2018
1571,Ben Cutting,24,9,266.66,1,3,KKR,Eden Gardens,09 May 2018
1572,Colin de Grandhomme,23,10,230.0,0,3,MI,M. Chinnaswamy Stadium,01 May 2018
1573,Andre Russell,31,14,221.42,2,3,PBKS,Holkar Cricket Stadium,12 May 2018
1574,Shane Watson,42,19,221.05,3,3,KKR,Chidambaram,10 April 2018
1575,Dinesh Karthik,50,23,217.39,5,3,PBKS,Holkar Cricket Stadium,12 May 2018
1576,Kieron Pollard,50,23,217.39,5,3,PBKS,Wankhede Stadium,16 May 2018
1577,Kane Williamson,36,17,211.76,1,3,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2018
1578,Ravichandran Ashwin,45,22,204.54,4,3,KKR,Holkar Cricket Stadium,12 May 2018
1579,Deepak Chahar,39,20,195.0,1,3,PBKS,Maharashtra Cricket Association's International Stadium,20 May 2018
1580,Carlos Brathwaite,21,11,190.9,0,3,CSK,Wankhede Stadium,27 May 2018
1581,Mandeep Singh,32,17,188.23,1,3,CSK,M. Chinnaswamy Stadium,25 April 2018
1582,Ben Cutting,37,20,185.0,2,3,DC,Arun Jaitley Stadium,20 May 2018
1583,Washington Sundar,35,19,184.21,1,3,RR,M. Chinnaswamy Stadium,15 April 2018
1584,Robin Uthappa,35,19,184.21,2,3,DC,Eden Gardens,16 April 2018
1585,Robin Uthappa,29,16,181.25,2,3,CSK,Chidambaram,10 April 2018
