,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0
1091,Mohit Sharma,4.0,25,3,8.0,RR,Chidambaram,10 May 2015,
1092,Yuzvendra Chahal,4.0,40,3,8.0,CSK,M. Chinnaswamy Stadium,22 April 2015,
1093,Ashish Nehra,4.0,23,3,8.0,MI,Wankhede Stadium,17 April 2015,
1094,Dwayne Bravo,4.0,40,3,8.0,MI,Wankhede Stadium,19 May 2015,
1095,Ashish Nehra,4.0,25,3,8.0,DC,Chidambaram,09 April 2015,
1096,Anureet Singh,4.0,23,3,8.0,RR,Maharashtra Cricket Association's International Stadium,10 April 2015,
1097,Mitchell McClenaghan,4.0,25,3,8.0,CSK,Eden Gardens,24 May 2015,
1098,Chris Morris,4.0,19,3,8.0,CSK,Chidambaram,10 May 2015,
1099,Umesh Yadav,4.0,33,3,8.0,PBKS,Maharashtra Cricket Association's International Stadium,18 April 2015,
1100,Trent Boult,4.0,19,3,8.0,PBKS,IS Bindra Stadium,27 April 2015,
1101,Mitchell Starc,4.0,24,3,8.0,CSK,Chidambaram,04 May 2015,
1102,Moises Henriques,4.0,16,3,8.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015,
1103,Mitchell McClenaghan,4.0,31,3,8.0,RR,Wankhede Stadium,01 May 2015,
1104,Andre Russell,4.0,32,3,8.0,RR,Brabourne Stadium,16 May 2015,
1105,Ravindra Jadeja,4.0,22,3,8.0,PBKS,Chidambaram,25 April 2015,
1106,Dhawal Kulkarni,3.0,9,2,9.0,SRH,ACA-VDCA Stadium,16 April 2015,
1107,Harshal Patel,3.0,15,2,9.0,RR,Maharashtra Cricket Association's International Stadium,20 May 2015,
1108,Vinay Kumar,3.0,26,2,9.0,CSK,Wankhede Stadium,19 May 2015,
1109,Shane Watson,3.0,36,2,9.0,SRH,Brabourne Stadium,07 May 2015,
1110,Gurkeerat Mann Singh,3.0,17,2,9.0,KKR,Eden Gardens,09 May 2015,
1111,Jagadeesha Suchith,3.0,14,2,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015,
1112,Pawan Negi,3.0,28,2,9.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015,
1113,Domnic Joseph,3.0,18,2,9.0,KKR,Arun Jaitley Stadium,20 April 2015,
1114,Dhawal Kulkarni,3.0,26,2,9.0,MI,Wankhede Stadium,01 May 2015,
1115,Albie Morkel,3.0,21,2,9.0,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015,
1116,Ravi Bopara,3.0,31,2,9.0,RCB,M. Chinnaswamy Stadium,13 April 2015,
1117,Yuzvendra Chahal,3.0,26,2,9.0,DC,M. Chinnaswamy Stadium,17 May 2015,
1118,Karn Sharma,3.0,12,2,9.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015,
