,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
968,Glenn Maxwell,16,5,320.0,0,2,RR,Sharjah Cricket Stadium,20 April 2014
969,Sanju Samson,16,5,320.0,4,0,KKR,Zayed Cricket Stadium,29 April 2014
970,George Bailey,16,5,320.0,4,0,CSK,Barabati Stadium,07 May 2014
971,Virender Sehwag,16,6,266.66,4,0,KKR,Barabati Stadium,11 May 2014
972,Faf du Plessis,16,5,320.0,2,1,PBKS,Barabati Stadium,07 May 2014
973,Dwayne Smith,16,4,400.0,4,0,RR,Dubai International Stadium,23 April 2014
974,Suresh Raina,16,4,400.0,1,2,PBKS,Wankhede Stadium,30 May 2014
975,Brendon McCullum,16,6,266.66,1,2,KKR,Eden Gardens,20 May 2014
976,Chris Gayle,16,6,266.66,1,2,SRH,M. Chinnaswamy Stadium,04 May 2014
977,David Miller,16,5,320.0,2,1,CSK,Wankhede Stadium,30 May 2014
978,Virender Sehwag,15,5,300.0,2,1,SRH,Sharjah Cricket Stadium,22 April 2014
979,Dhawal Kulkarni,15,4,375.0,0,2,CSK,Dubai International Stadium,23 April 2014
980,Rohit Sharma,15,5,300.0,0,2,KKR,Barabati Stadium,14 May 2014
981,David Miller,15,4,375.0,0,2,CSK,Zayed Cricket Stadium,18 April 2014
982,Manan Vohra,15,3,500.0,0,2,CSK,Wankhede Stadium,30 May 2014
983,Glenn Maxwell,15,4,375.0,2,1,SRH,Sharjah Cricket Stadium,22 April 2014
984,Aditya Tare,15,5,300.0,1,1,PBKS,Wankhede Stadium,03 May 2014
985,Piyush Chawla,15,6,250.0,3,0,PBKS,Eden Gardens,28 May 2014
986,Glenn Maxwell,15,6,250.0,3,0,RR,Sharjah Cricket Stadium,20 April 2014
987,Brad Hodge,15,5,300.0,1,1,MI,Wankhede Stadium,25 May 2014
988,Wriddhiman Saha,15,6,250.0,3,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
989,AB de Villiers,15,4,375.0,2,1,DC,M. Chinnaswamy Stadium,13 May 2014
990,David Warner,15,4,375.0,0,2,RCB,M. Chinnaswamy Stadium,04 May 2014
991,Shane Watson,15,4,375.0,1,1,PBKS,Sharjah Cricket Stadium,20 April 2014
992,Manish Pandey,15,6,250.0,2,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
993,Wriddhiman Saha,15,5,300.0,2,1,KKR,M. Chinnaswamy Stadium,01 June 2014
994,Kevin Pietersen,15,4,375.0,2,1,MI,Sharjah Cricket Stadium,27 April 2014
995,Sanju Samson,15,4,375.0,0,2,DC,Narendra Modi Stadium,15 May 2014
996,Steve Smith,15,6,250.0,3,0,PBKS,Sharjah Cricket Stadium,20 April 2014
997,Karun Nair,15,5,300.0,1,1,DC,Narendra Modi Stadium,15 May 2014
998,Glenn Maxwell,15,4,375.0,0,2,RR,Sharjah Cricket Stadium,20 April 2014
999,Dwayne Smith,15,4,375.0,2,1,DC,Arun Jaitley Stadium,05 May 2014
1000,Jason Holder,15,4,375.0,2,1,KKR,Eden Gardens,24 May 2014
1001,Shikhar Dhawan,15,4,375.0,2,1,DC,Dubai International Stadium,25 April 2014
1002,Wriddhiman Saha,15,5,300.0,2,1,KKR,M. Chinnaswamy Stadium,01 June 2014
1003,Glenn Maxwell,15,5,300.0,0,2,SRH,Sharjah Cricket Stadium,22 April 2014
1004,Karun Nair,15,5,300.0,2,1,MI,Wankhede Stadium,25 May 2014
1005,Yusuf Pathan,15,4,375.0,0,2,SRH,Eden Gardens,24 May 2014
1006,Dinesh Karthik,15,5,300.0,2,1,KKR,Arun Jaitley Stadium,07 May 2014
1007,Wriddhiman Saha,15,4,375.0,2,1,MI,Wankhede Stadium,03 May 2014
1008,Shakib Al Hasan,15,4,375.0,2,1,CSK,Eden Gardens,20 May 2014
1009,George Bailey,15,5,300.0,1,1,RR,IS Bindra Stadium,23 May 2014
1010,Faf du Plessis,14,5,280.0,3,0,PBKS,Barabati Stadium,07 May 2014
1011,Steve Smith,14,6,233.33,2,1,RCB,M. Chinnaswamy Stadium,11 May 2014
1012,MS Dhoni,14,5,280.0,1,1,DC,Zayed Cricket Stadium,21 April 2014
1013,Lendl Simmons,14,5,280.0,3,0,DC,Wankhede Stadium,23 May 2014
1014,AB de Villiers,14,4,350.0,0,2,PBKS,M. Chinnaswamy Stadium,09 May 2014
1015,David Warner,14,4,350.0,0,2,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
1016,Manan Vohra,14,4,350.0,0,2,KKR,Eden Gardens,28 May 2014
1017,Glenn Maxwell,14,5,280.0,0,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
1018,Shane Watson,14,4,350.0,3,0,KKR,Zayed Cricket Stadium,29 April 2014
