Season,Name,Nationality,Type,Team,Price
2022,Rahul Tripathi ,Indian ,Batsman , Sunrisers Hyderabad,"8,50,00,000 "
2022,Abhishek Sharma ,Indian ,All-Rounder , Sunrisers Hyderabad,"6,50,00,000 "
2022,Vishnu Vinod ,Indian ,Wicket Keeper , Sunrisers Hyderabad,"50,00,000 "
2022,Kartik Tyagi ,Indian ,Bowler , Sunrisers Hyderabad,"4,00,00,000 "
2022,Shreyas Gopal ,Indian ,Bowler , Sunrisers Hyderabad,"75,00,000 "
2022,Jagadeesha Suchith ,Indian ,Bowler , Sunrisers Hyderabad,"20,00,000 "
2022,Aiden Markram ,Overseas ,Batsman , Sunrisers Hyderabad,"2,60,00,000 "
2022,Marco Jansen ,Overseas ,All-Rounder , Sunrisers Hyderabad,"4,20,00,000 "
2022,Romario Shepherd ,Overseas ,All-Rounder , Sunrisers Hyderabad,"7,75,00,000 "
2022,Glenn Phillips ,Overseas ,Wicket Keeper , Sunrisers Hyderabad,"1,50,00,000 "
2022,Fazalhaq Farooqi ,Overseas ,Bowler , Sunrisers Hyderabad,"50,00,000 "
2022,Sean Abbott ,Overseas ,Bowler , Sunrisers Hyderabad,"2,40,00,000 "
2022,R Samarth ,Indian ,Batsman , Sunrisers Hyderabad,"20,00,000 "
2022,Shashank Singh ,Indian ,All-Rounder , Sunrisers Hyderabad,"20,00,000 "
2022,Saurabh Dubey ,Indian ,Bowler , Sunrisers Hyderabad,"20,00,000 "
2021,Tom Curran ,Not Available,All-Rounder , Delhi Capitals,"5,25,00,000"
2021,Steven Smith ,Not Available,Batsman , Delhi Capitals,"2,20,00,000"
2021,Sam Billings ,Overseas ,Wicket Keeper , Delhi Capitals,"2,00,00,000"
2021,Umesh Yadav ,Indian ,Bowler , Delhi Capitals,"1,00,00,000"
2021,Ripal Patel ,Indian ,All-Rounder , Delhi Capitals,"20,00,000"
2021,Vishnu Vinod ,Indian ,Wicket Keeper , Delhi Capitals,"20,00,000"
2021,Lukman Hussain Meriwala ,Not Available,Bowler , Delhi Capitals,"20,00,000"
2021,M Siddharth ,Not Available,Bowler , Delhi Capitals,"20,00,000"
2021,Shakib Al Hasan ,Overseas ,All-Rounder , Kolkata Knight Riders,"3,20,00,000"
2021,Harbhajan Singh ,Not Available,Bowler , Kolkata Knight Riders,"2,00,00,000"
2021,Ben Cutting ,Not Available,All-Rounder , Kolkata Knight Riders,"75,00,000"
2021,Karun Nair ,Indian ,Batsman , Kolkata Knight Riders,"50,00,000"
2021,Pawan Negi ,Not Available,All-Rounder , Kolkata Knight Riders,"50,00,000"
2021,Venkatesh Iyer ,Not Available,All-Rounder , Kolkata Knight Riders,"20,00,000"
2021,Sheldon Jackson ,Indian ,Wicket Keeper , Kolkata Knight Riders,"20,00,000"
2021,Vaibhav Arora ,Indian ,Bowler , Kolkata Knight Riders,"20,00,000"
2021,Nathan Coulter-Nile ,Overseas ,Bowler , Mumbai Indians,"5,00,00,000"
2021,Adam Milne ,Overseas ,Bowler , Mumbai Indians,"3,20,00,000"
2021,Piyush Chawla ,Indian ,Bowler , Mumbai Indians,"2,40,00,000"
2021,James Neesham ,Overseas ,All-Rounder , Mumbai Indians,"50,00,000"
2021,Yudhvir Charak ,Not Available,All-Rounder , Mumbai Indians,"20,00,000"
2021,Marco Jansen ,Overseas ,All-Rounder , Mumbai Indians,"20,00,000"
2021,Arjun Tendulkar ,Indian ,All-Rounder , Mumbai Indians," 20,00,000"
2021,Jhye Richardson ,Overseas ,Bowler , Punjab Kings,"14,00,00,000"
2021,Riley Meredith ,Overseas ,Bowler , Punjab Kings,"8,00,00,000"
2021,Shahrukh Khan ,Not Available,All-Rounder , Punjab Kings,"5,25,00,000"
2021,Moises Henriques ,Not Available,All-Rounder , Punjab Kings,"4,20,00,000"
2021,Dawid Malan ,Not Available,All-Rounder , Punjab Kings,"1,50,00,000"
2021,Fabian Allen ,Not Available, All-Rounder , Punjab Kings,"75,00,000"
